Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,1.948052983539095,15.012731481481481,1.9746296296296297,1.0664043209876544,2.803125
3,00:00:00.067,0.5027134773662552,13.680671296296296,0.4466435185185185,0.2388888888888889,0.8226080246913581
4,00:00:00.100,8.226764403292181,23.591435185185187,10.392546296296297,3.2320216049382715,11.055725308641975
5,00:00:00.133,3.284740226337449,10.933912037037038,3.4430555555555555,1.6646141975308641,4.746550925925926
6,00:00:00.167,3.9827957818930044,13.629513888888889,4.390030864197531,2.0624151234567902,5.495941358024691
7,00:00:00.200,6.464958847736625,19.947453703703705,7.836905864197531,2.6211728395061726,8.936797839506173
8,00:00:00.233,0.8969444444444444,9.566435185185185,1.2611728395061728,0.20016203703703703,1.2294984567901235
9,00:00:00.267,6.572844650205762,25.604282407407407,8.543217592592592,2.8481404320987656,8.327175925925927
10,00:00:00.300,8.597613168724282,25.167476851851852,12.160347222222223,3.0990432098765432,10.533449074074074
11,00:00:00.333,6.200064300411523,16.05358796296296,7.111581790123457,2.713395061728395,8.775216049382717
12,00:00:00.367,5.467070473251028,16.535648148148148,7.044907407407408,2.544506172839506,6.8117978395061725
13,00:00:00.400,1.5609876543209875,9.57037037037037,2.3230324074074074,0.3736188271604938,1.9863117283950618
14,00:00:00.433,6.055342078189301,16.809143518518518,7.863364197530864,2.8675231481481482,7.435138888888889
15,00:00:00.467,4.915588991769547,18.833796296296295,6.4485725308641975,2.458533950617284,5.839660493827161
16,00:00:00.500,3.8231301440329215,15.736805555555556,4.931350308641975,1.7758796296296295,4.76216049382716
17,00:00:00.533,3.6379243827160495,14.644791666666666,4.401064814814815,1.8820447530864197,4.630663580246914
18,00:00:00.567,1.6186239711934156,10.23738425925926,2.3463966049382714,0.46565586419753086,2.0438194444444444
19,00:00:00.600,3.916085390946502,11.58125,5.72113425925926,1.8736342592592592,4.153487654320988
20,00:00:00.633,3.6524048353909464,13.659027777777778,5.335123456790123,1.7528472222222222,3.869243827160494
21,00:00:00.667,3.653348765432099,11.547800925925927,4.508842592592592,1.801412037037037,4.649791666666666
22,00:00:00.700,6.270925925925926,16.586805555555557,10.530871913580247,2.062638888888889,6.219266975308642
23,00:00:00.733,2.2507047325102882,9.930439814814815,3.672222222222222,0.5864274691358025,2.4934645061728395
24,00:00:00.767,4.79923353909465,8.745949074074074,7.684521604938271,1.4958256172839506,5.217353395061728
25,00:00:00.800,5.4381121399176955,10.772569444444445,9.778858024691358,1.915817901234568,4.61966049382716
26,00:00:00.833,5.103207304526749,7.374537037037037,8.469483024691359,1.8559876543209877,4.984151234567901
27,00:00:00.867,5.973801440329218,6.620949074074074,10.946743827160494,1.8373225308641976,5.137337962962963
28,00:00:00.900,1.317772633744856,5.934259259259259,2.0375077160493826,0.4216666666666667,1.4941435185185186
29,00:00:00.933,6.902137345679011,6.534375,12.714629629629629,2.072854938271605,5.918927469135802
30,00:00:00.967,7.575833333333333,12.07511574074074,12.867708333333333,3.0052854938271607,6.854506172839506
31,00:00:01.000,5.260082304526748,15.479050925925925,8.127121913580247,1.999645061728395,5.653479938271605
32,00:00:01.033,9.408073559670783,23.634722222222223,14.683726851851851,4.744560185185185,8.795933641975308
33,00:00:01.067,4.13252829218107,14.512962962962963,7.163672839506173,1.0631095679012346,4.170802469135802
34,00:00:01.100,8.660846193415638,20.807291666666668,12.469266975308642,3.276952160493827,10.236319444444444
35,00:00:01.133,3.5525823045267493,9.745486111111111,5.094375,1.2812808641975308,4.282091049382716
36,00:00:01.167,6.430565843621399,14.103703703703705,9.812939814814815,2.6583873456790124,6.82037037037037
37,00:00:01.200,5.0914403292181065,21.8875,7.181126543209877,2.1168518518518518,5.976342592592593
38,00:00:01.233,1.7939197530864197,8.586574074074074,2.8441435185185187,0.3827777777777778,2.154837962962963
39,00:00:01.267,4.101875000000001,16.917361111111113,6.4971450617283955,1.391851851851852,4.416628086419753
40,00:00:01.300,5.767067901234568,12.653587962962963,8.800177469135802,1.7924614197530864,6.708564814814815
41,00:00:01.333,3.668202160493827,11.667824074074074,4.725069444444444,1.1243518518518518,5.155185185185185
42,00:00:01.367,2.5527752057613164,10.38888888888889,3.2149691358024692,0.9705246913580247,3.4728317901234567
43,00:00:01.400,1.024133230452675,4.838310185185185,1.2871064814814814,0.28652006172839506,1.498773148148148
44,00:00:01.433,2.5720293209876544,7.897916666666666,2.883935185185185,0.9971373456790124,3.8350154320987655
45,00:00:01.467,5.923811728395062,20.75810185185185,8.450262345679013,1.947145061728395,7.374027777777778
46,00:00:01.500,3.4698868312757205,16.33888888888889,4.929212962962963,1.0704552469135802,4.409992283950618
47,00:00:01.533,3.201777263374486,13.932523148148148,4.567453703703704,1.0617824074074074,3.976095679012346
48,00:00:01.567,1.2836471193415637,7.5398148148148145,1.924621913580247,0.2681404320987654,1.658179012345679
49,00:00:01.600,2.137561728395062,6.060185185185185,2.6486265432098763,1.086304012345679,2.6777546296296295
50,00:00:01.633,2.438526234567901,15.669907407407408,2.747067901234568,1.081003086419753,3.487507716049383
51,00:00:01.667,3.258598251028807,8.230439814814815,4.756435185185185,1.2246296296296297,3.794729938271605
52,00:00:01.700,4.76704732510288,9.875347222222222,7.237885802469136,2.0340663580246914,5.029189814814814
53,00:00:01.733,1.7307381687242798,8.732175925925926,2.843371913580247,0.37968364197530863,1.969158950617284
54,00:00:01.767,6.069079218106996,16.21886574074074,10.41809413580247,2.13054012345679,5.6586033950617285
55,00:00:01.800,10.368364197530864,20.026157407407407,18.60247685185185,3.915787037037037,8.586828703703704
56,00:00:01.833,12.452749485596707,24.396180555555556,20.95337962962963,4.446604938271605,11.958263888888888
57,00:00:01.867,10.625275205761318,17.861805555555556,19.346172839506174,3.8735108024691356,8.656141975308643
58,00:00:01.900,4.253598251028806,10.40462962962963,7.892237654320987,0.5230787037037037,4.345478395061728
59,00:00:01.933,10.885002572016461,17.85787037037037,19.53900462962963,3.5828163580246914,9.533186728395062
60,00:00:01.967,9.010174897119342,33.403819444444444,13.83667438271605,3.7493287037037035,9.444521604938272
61,00:00:02.000,6.110738168724279,19.15648148148148,9.719791666666667,2.5176234567901234,6.094799382716049
62,00:00:02.033,4.811499485596708,14.516898148148147,7.594876543209876,2.027276234567901,4.812345679012346
63,00:00:02.067,1.0930324074074074,5.757175925925926,1.3714274691358024,0.21462962962962964,1.6930401234567902
64,00:00:02.100,7.917165637860083,17.084606481481483,11.7020987654321,3.2024537037037035,8.846944444444444
65,00:00:02.133,6.856131687242798,19.168287037037036,9.57815586419753,3.083557098765432,7.906682098765432
66,00:00:02.167,5.881229423868312,13.78888888888889,8.033348765432098,2.58375,7.026589506172839
67,00:00:02.200,5.9460802469135805,14.987152777777778,7.635154320987654,3.1419984567901236,7.061087962962963
68,00:00:02.233,2.90929012345679,8.248148148148148,4.7983873456790125,0.5997376543209877,3.3297453703703703
69,00:00:02.267,4.2625334362139915,10.506944444444445,5.3968287037037035,2.3120756172839507,5.078695987654321
70,00:00:02.300,4.4271219135802475,11.685532407407408,6.349537037037037,2.0065123456790124,4.925316358024691
71,00:00:02.333,4.062705761316873,7.827083333333333,5.915192901234568,1.8513348765432098,4.42158950617284
72,00:00:02.367,2.361381172839506,6.341550925925926,2.668101851851852,1.4479783950617284,2.9680632716049384
73,00:00:02.400,0.8265252057613167,3.765972222222222,0.9417901234567901,0.2540046296296296,1.2837808641975308
74,00:00:02.433,2.7801697530864193,6.142824074074074,4.531998456790124,1.2581018518518519,2.550408950617284
75,00:00:02.467,2.521926440329218,5.873263888888889,3.678449074074074,1.372091049382716,2.5152391975308643
76,00:00:02.500,3.6751363168724276,7.911689814814815,5.864405864197531,1.7857253086419753,3.375277777777778
77,00:00:02.533,2.201280864197531,4.810763888888889,3.445378086419753,0.9546836419753086,2.203780864197531
78,00:00:02.567,0.8697582304526749,3.433449074074074,1.1177854938271605,0.2849151234567901,1.206574074074074
79,00:00:02.600,7.226566358024691,11.27824074074074,12.740185185185185,3.251496913580247,5.688016975308642
80,00:00:02.633,8.361743827160494,14.796296296296296,14.99324074074074,3.782939814814815,6.309050925925926
81,00:00:02.667,9.688837448559669,17.98576388888889,16.565270061728395,4.31670524691358,8.184537037037037
82,00:00:02.700,7.407458847736627,14.207986111111111,11.748456790123457,4.381905864197531,6.092013888888889
83,00:00:02.733,2.1310853909465024,7.384375,3.2075617283950617,0.5081712962962963,2.6775231481481483
84,00:00:02.767,6.977831790123457,10.534490740740742,8.564066358024691,5.075516975308642,7.293912037037037
85,00:00:02.800,6.333215020576131,13.037268518518518,10.033572530864198,2.31570987654321,6.650362654320988
86,00:00:02.833,9.496280864197532,16.594675925925927,12.711435185185184,3.688503086419753,12.088904320987654
87,00:00:02.867,5.856167695473251,15.488888888888889,9.808240740740741,2.075216049382716,5.685046296296297
88,00:00:02.900,2.139735082304527,10.772569444444445,3.47758487654321,0.5485416666666667,2.393078703703704
89,00:00:02.933,7.560095164609053,19.654282407407408,14.546381172839506,2.8143904320987656,5.319513888888889
90,00:00:02.967,8.49525462962963,19.26273148148148,15.164027777777777,3.4260262345679013,6.89570987654321
91,00:00:03.000,6.6950025720164605,16.87997685185185,11.530694444444444,2.2162808641975307,6.3380324074074075
92,00:00:03.033,9.910892489711934,18.52488425925926,16.133055555555554,4.105810185185185,9.493811728395062
93,00:00:03.067,1.7333770576131686,13.359953703703704,2.6878935185185187,0.5467669753086419,1.9654706790123457
94,00:00:03.100,9.288801440329218,14.2375,14.447276234567902,3.192608024691358,10.226520061728396
95,00:00:03.133,6.8394933127572015,15.400347222222223,11.398618827160494,1.983233024691358,7.136628086419753
96,00:00:03.167,9.857121913580249,26.826157407407408,12.67704475308642,4.932206790123457,11.962114197530864
97,00:00:03.200,11.428176440329217,19.439814814814813,15.630617283950617,5.627183641975309,13.026728395061728
