Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,0.05119341563786008,0.6827546296296296,0.051944444444444446,0.009421296296296296,0.09221450617283951
3,00:00:00.067,0.010622427983539096,0.5922453703703704,0.004675925925925926,0.004429012345679013,0.022762345679012346
4,00:00:00.100,0.012397119341563784,1.6940972222222221,0.0032021604938271605,0.015154320987654322,0.018834876543209877
5,00:00:00.133,0.010763888888888887,0.017708333333333333,0.007029320987654321,0.001396604938271605,0.02386574074074074
6,00:00:00.167,0.24673611111111107,1.294675925925926,0.23813271604938271,0.02917438271604938,0.47290123456790123
7,00:00:00.200,0.29386316872427987,2.6798611111111112,0.2812577160493827,0.03834104938271605,0.5619907407407407
8,00:00:00.233,0.21842592592592594,1.3576388888888888,0.20755401234567902,0.026867283950617285,0.42085648148148147
9,00:00:00.267,0.2172582304526749,1.0211805555555555,0.19858796296296297,0.030671296296296297,0.4225154320987654
10,00:00:00.300,0.11679012345679012,0.40925925925925927,0.10876543209876544,0.009776234567901235,0.2318287037037037
11,00:00:00.333,0.2461522633744856,0.8421296296296297,0.2373533950617284,0.015393518518518518,0.48570987654320985
12,00:00:00.367,0.20338220164609053,1.2494212962962963,0.16756172839506173,0.06308641975308642,0.37949845679012345
13,00:00:00.400,1.7659182098765431,6.784259259259259,1.8124305555555555,0.10099537037037037,3.3843287037037038
14,00:00:00.433,0.19541409465020576,2.343402777777778,0.1811574074074074,0.03576388888888889,0.369320987654321
15,00:00:00.467,0.055537551440329215,0.10428240740740741,0.03770061728395062,0.009344135802469136,0.1195679012345679
16,00:00:00.500,0.16109825102880657,1.4914351851851853,0.12901234567901235,0.0667824074074074,0.2875
17,00:00:00.533,0.11747427983539094,0.859837962962963,0.12324074074074073,0.037939814814814815,0.1912422839506173
18,00:00:00.567,0.5310313786008231,1.6567129629629629,0.49842592592592594,0.0815354938271605,1.0131327160493828
19,00:00:00.600,1.0359387860082305,2.9868055555555557,1.0108950617283952,0.10593364197530865,1.9909876543209877
20,00:00:00.633,0.1174048353909465,0.5410879629629629,0.12421296296296297,0.02452932098765432,0.20347222222222222
21,00:00:00.667,1.7608307613168723,5.765046296296297,1.671851851851852,0.2770138888888889,3.3336265432098764
22,00:00:00.700,3.4299639917695472,8.881712962962963,3.1924537037037037,0.33760802469135803,6.75983024691358
23,00:00:00.733,3.417901234567901,9.639236111111112,3.2198379629629628,0.40378086419753084,6.63008487654321
24,00:00:00.767,5.2102597736625516,13.47800925925926,5.019050925925926,0.45131944444444444,10.160408950617285
25,00:00:00.800,11.75411779835391,20.055671296296296,11.265154320987655,0.33304783950617284,23.6641512345679
26,00:00:00.833,2.3534002057613166,5.755208333333333,2.060347222222222,0.37425925925925924,4.625594135802469
27,00:00:00.867,2.281820987654321,9.176851851851852,1.881658950617284,0.5288734567901234,4.434930555555556
28,00:00:00.900,3.902590020576131,12.663425925925926,3.408333333333333,0.661195987654321,7.63824074074074
29,00:00:00.933,4.43133487654321,10.050462962962962,3.8760725308641977,0.5064274691358025,8.91150462962963
30,00:00:00.967,0.8213605967078189,1.6449074074074075,0.6567746913580247,0.13794753086419753,1.6693595679012345
31,00:00:01.000,15.746725823045267,27.703703703703702,14.50378086419753,0.9497067901234568,31.786689814814814
32,00:00:01.033,2.7799382716049386,9.104050925925925,2.0536805555555557,0.6671682098765432,5.618966049382716
33,00:00:01.067,2.8417772633744858,12.265972222222222,2.218310185185185,0.6145061728395061,5.692515432098766
34,00:00:01.100,4.176743827160494,20.742361111111112,3.2435802469135804,0.8643904320987654,8.422260802469136
35,00:00:01.133,1.0315689300411521,4.238194444444445,0.5560725308641975,0.26655092592592594,2.2720833333333332
36,00:00:01.167,4.247327674897119,19.445717592592594,3.3711728395061726,0.7339506172839506,8.636859567901235
37,00:00:01.200,11.857677469135801,35.73738425925926,10.673441358024691,0.8768827160493827,24.022708333333334
38,00:00:01.233,1.3732896090534978,8.625925925925927,0.7592129629629629,0.4607175925925926,2.8999382716049382
39,00:00:01.267,2.820627572016461,14.390972222222222,1.6449691358024692,0.9247839506172839,5.89212962962963
40,00:00:01.300,0.6935905349794238,1.8475694444444444,0.4564043209876543,0.134429012345679,1.4899382716049383
41,00:00:01.333,4.451921296296296,21.804861111111112,3.228688271604938,0.9822530864197531,9.144822530864198
42,00:00:01.367,3.3322736625514406,12.572916666666666,2.2038425925925926,0.6529475308641975,7.140030864197531
43,00:00:01.400,3.721082818930041,14.61724537037037,2.208858024691358,0.7205246913580247,8.233865740740741
44,00:00:01.433,3.609675925925926,9.814351851851852,2.767199074074074,0.5452314814814815,7.516597222222222
45,00:00:01.467,1.9926929012345678,6.487152777777778,1.1578935185185186,0.4384645061728395,4.3817206790123455
46,00:00:01.500,1.4052803497942385,2.27650462962963,1.1230015432098766,0.45719135802469135,2.635648148148148
47,00:00:01.533,2.5313528806584364,7.687384259259259,1.7270138888888888,0.689837962962963,5.177206790123456
48,00:00:01.567,1.6897402263374486,3.954861111111111,1.3436651234567902,0.42978395061728397,3.2957716049382717
49,00:00:01.600,7.565216049382716,17.975925925925925,5.889591049382716,1.0148688271604938,15.791188271604938
50,00:00:01.633,2.873261316872428,8.12025462962963,1.897361111111111,0.39814043209876543,6.3242824074074075
51,00:00:01.667,1.1948431069958847,1.951851851851852,1.082638888888889,0.5276543209876543,1.974236111111111
52,00:00:01.700,2.1988323045267486,3.665625,1.7179861111111112,0.8192746913580247,4.059236111111111
53,00:00:01.733,1.9632818930041154,3.0773148148148146,1.7096682098765432,0.6939120370370371,3.4862654320987656
54,00:00:01.767,2.982968106995885,4.334606481481481,2.3174537037037037,0.9560185185185185,5.675432098765432
55,00:00:01.800,1.0412988683127573,2.227314814814815,1.1027314814814815,0.32979166666666665,1.6913734567901235
56,00:00:01.833,1.0217824074074073,1.3005787037037038,1.4710416666666666,0.26025462962962964,1.334050925925926
57,00:00:01.867,3.583029835390947,6.215625,2.9707175925925924,1.0944675925925926,6.683904320987654
58,00:00:01.900,1.9508899176954733,1.7413194444444444,2.5249228395061727,0.6167052469135802,2.7110416666666666
